User input,Provided
Why do you need my date of birth?,No
I'm not comfortable sharing my birthdate,No
Can I skip providing my birthdate?,No
Is my birthdate safe with you?,No
Why is my birthdate necessary?,No
Do I have to give you my birthdate?,No
I don't see why you need my birthdate.,No
What happens if I don't share my birthdate?,No
Is my birthdate used for marketing purposes?,No
Can you provide services without knowing my birthdate?,No
Are you going to share my birthdate with third parties?,No
What's the benefit of sharing my birthdate?,No
I'm not sure about sharing personal information.,No
Why does my birthdate matter to you?,No
Can I provide a fake birthdate?,No
I'm worried about identity theft. Can I skip it?,No
I've heard about data breaches. Is it safe?,No
Can I just tell you my birth month and day?,No
I'm uncomfortable with sharing such data.,No
Are you using my birthdate to verify my identity?,No
"My date of birth is August 15, 1987.",Yes
"Sure, I was born on March 22, 1995.",Yes
"I'm comfortable sharing my birthdate: November 5, 1982.",Yes
"You can have my birthdate: September 10, 2000.",Yes
"My date of birth is February 8, 1979.",Yes
"Providing my birthdate: July 12, 1991.",Yes
"I was born on May 3, 1988.",Yes
"Sure thing, it's December 18, 1973.",Yes
"I'm okay with sharing my birthdate: January 25, 2002.",Yes
"No problem, my date of birth is June 7, 1996.",Yes
"You can use my birthdate: April 14, 1985.",Yes
"Happy to share, I was born on October 30, 1999.",Yes
"I'm fine with it, my birthdate is July 9, 1970.",Yes
"Providing my birthdate: March 17, 1984.",Yes
"Okay, my date of birth is September 23, 1993.",Yes
"Sure, it's February 4, 1989.",Yes
"No issues, I was born on November 8, 1978.",Yes
"You can have my birthdate: January 15, 1998.",Yes
"My birthdate is May 19, 2003.",Yes
"I'm comfortable sharing my birthdate: August 28, 1992.",Yes
Why do you need my name?,No
I'm not comfortable sharing my name.,No
Can I skip providing my name?,No
Is my name safe with you?,No
What's the benefit of sharing my name?,No
Do I have to give you my name?,No
I don't see why you need my name.,No
What happens if I don't share my name?,No
Is my name used for marketing purposes?,No
Can you provide services without knowing my name?,No
Are you going to share my name with third parties?,No
What's the benefit of sharing my name?,No
I'm not sure about sharing personal information.,No
Why does my name matter to you?,No
Can I use a nickname instead?,No
I'm worried about privacy. Can I skip it?,No
Is my name going to be visible to others?,No
Can I just provide my first name?,No
I'm uncomfortable with sharing my name.,No
Are you using my name to verify my identity?,No
Why do you need my email?,No
I'm not comfortable sharing my email.,No
Can I skip providing my email?,No
Is my email safe with you?,No
What's the benefit of sharing my email?,No
Do I have to give you my email?,No
I don't see why you need my email.,No
What happens if I don't share my email?,No
Is my email used for marketing purposes?,No
Can you provide services without knowing my email,No
Are you going to share my email with third parties?,No
What's the benefit of sharing my email?,No
I'm not sure about sharing personal information.,No
Why does my email matter to you?,No
Can I use a different email?,No
I'm worried about spam. Can I skip it?,No
Is my email going to be shared publicly?,No
Can I just provide a temporary email?,No
I'm uncomfortable with sharing my email.,No
Are you using my email to verify my identity?,No
My email address is john.doe@example.com.,Yes
"Sure, you can reach me at emily.smith@emailprovider.com.",Yes
I'm comfortable sharing my email: sam.jones@example.org.,Yes
You can contact me through jessica.brown@emailservice.net.,Yes
My email is alex.wilson@example.net.,Yes
Providing my email: mike.johnson@example.com.,Yes
I can be reached at chris.miller@emailprovider.net.,Yes
"Sure thing, it's lisa.davis@example.org.",Yes
